date,high,low,close
2019-02-04,315.3,301.88,312.89
2019-02-05,322.44,312.25,321.35
2019-02-06,324.24,315.62,317.22
2019-02-07,314.7,303.0,307.51
2019-02-08,307.45,298.5,305.8
2019-02-11,318.6,310.5,312.84
2019-02-12,318.19,309.62,311.81
2019-02-13,312.75,305.57,308.17
2019-02-14,306.77,301.0,303.77
2019-02-15,308.0,303.9,307.88
2019-02-19,311.54,305.47,305.64
2019-02-20,306.3,299.0,302.56
2019-02-21,303.24,290.5,291.23
2019-02-22,296.5,292.1,294.71
2019-02-25,302.9,297.0,298.77
2019-02-26,302.01,288.77,297.86
2019-02-27,316.3,300.55,314.74
2019-02-28,320.0,310.81,319.88
2019-03-01,307.13,291.9,294.79
2019-03-04,299.0,282.78,285.36
2019-03-05,284.0,270.1,276.54
2019-03-06,281.51,274.39,276.24
2019-03-07,284.7,274.25,276.59
2019-03-08,285.59,275.89,284.14
2019-03-11,291.28,280.5,290.92
2019-03-12,288.07,281.06,283.36
2019-03-13,291.99,282.7,288.96
2019-03-14,295.39,288.29,289.96
2019-03-15,283.72,274.4,275.43
2019-03-18,278.05,267.3,269.49
2019-03-19,273.3,263.46,267.47
2019-03-20,274.97,266.3,273.6
2019-03-21,276.45,268.45,274.02
2019-03-22,272.8,264.0,264.53
2019-03-25,263.18,254.46,260.42
2019-03-26,270.26,264.43,267.77
2019-03-27,275.37,268.18,274.83
2019-03-28,280.33,275.1,278.62
2019-03-29,280.16,274.5,279.86
2019-04-01,289.2,281.28,289.18
2019-04-02,289.44,283.88,285.88
2019-04-03,296.17,287.17,291.81
2019-04-04,271.2,260.59,267.78
2019-04-05,276.1,266.11,274.96
2019-04-08,281.16,270.44,273.2
2019-04-09,275.0,269.61,272.31
2019-04-10,278.38,272.89,276.06
2019-04-10,278.38,272.89,276.06
2019-04-11,270.5,265.6,268.42
2019-04-12,271.95,266.83,267.7
2019-04-15,268.88,258.63,266.38
2019-04-16,275.0,264.72,273.36
2019-04-17,274.79,268.54,271.23
2019-04-18,274.84,269.75,273.26
2019-04-22,269.68,262.48,262.75
2019-04-23,265.6,255.75,263.9
2019-04-24,265.32,258.0,258.66
2019-04-25,259.0,246.07,247.63
2019-04-26,246.68,231.13,235.14
2019-04-29,243.98,232.17,241.47
2019-04-30,244.21,237.0,238.69
2019-05-01,240.0,231.5,234.01
2019-05-02,247.13,237.72,244.1
2019-05-03,256.61,243.49,255.03
2019-05-06,258.35,248.5,255.34
